Symbol,Name,Sector,Instrument,Status,Email,Website
AVU,Arun Vanaspati Udhyog Limited,Manufacturing And Processing,Equity,Suspended,avu@avu.com,
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Active,aviyanlaghu@gmail.com,https://www.aviyanlaghubitta.com/
AVYANP,Aviyan laghubittya bittiya sanstha limited,Microfinance,Promoter Share,Active,aviyanlaghu@gmail.com,https://www.aviyanlaghubitta.com/
AXIS,Axis Development Bank Limited,Development Banks,Equity,Delisted,pbank@wlink.com.np,http://www.pashupatibank.com.np
BANDIPUR,Bandipur Cablecar and Tourism Limited,Hotels And Tourism,Equity,Active,information@bandipurhill.com,www.bandipurhill.com
BARUN,Barun Hydropower Co. Ltd.,Hydro Power,Equity,Active,barunhydro@gmail.com,
BBBL,Bhrikuti Vikash Bank Limited,Development Banks,Equity,Delisted,vbb@vbb.com,
BBBLN,Bagheshwori Development Bank Limited,Development Banks,Equity,Delisted,bdb@bdb.com,
BBBLNP,Bagheshwori Development Bank Limited,Development Banks,Promoter Share,Inactive,bdb@bdb.com,
BBBLPO,Bhrikuti Vikash Bank Limited,Development Banks,Promoter Share,Inactive,vbb@vbb.com,
BBC,Bishal Bazar Company Limited,Tradings,Equity,Active,info@bishalbazar.com.np,
BEDC,Bhugol Energy Development Company Limited,Hydro Power,Equity,Active,energy.bhugol@gmail.com,www.bedc.com.np
BFC,Best Finance Company Ltd.,Finance,Equity,Active,info@bestfinance.com.np,www.bestfinance.com.np
BFCL,Bhaktapur Finance Co. Ltd.,Finance,Equity,Delisted,info@bktfinance.com,
BFCLPO,Bhaktapur Finance Co. Ltd.,Finance,Promoter Share,Inactive,info@bktfinance.com,
BFCPO,Best Finance Company Ltd.,Finance,Promoter Share,Active,info@bestfinance.com.np,www.bestfinance.com.np
BFIL,Bhajuratna Finance & Saving Co. Ltd.,Finance,Equity,Delisted,avu@avu.com,
BFLPO,Synergy Finance Ltd.,Finance,Promoter Share,Inactive,abc@abc.com,
BGDBL,Bagmati Development Bank Ltd.,Development Banks,Equity,Delisted,bagmatibank@info.com,
BGDBLP,Bagmati Development Bank Ltd.,Development Banks,Promoter Share,Inactive,bagmatibank@info.com,
BGWT,Bhagawati Hydropower Development Company Limited,Hydro Power,Equity,Active,bhdcpokhara1@gmail.com,www.bhagawatihydro.com.np
BHBL,Bhargav Bikash Bank Ltd.,Development Banks,Equity,Delisted,prjoshi@bhargavbank.com.np,
BHBLPO,Bhargav Bikash Bank Ltd.,Development Banks,Promoter Share,Inactive,prjoshi@bhargavbank.com.np,
BHCL,Bikash Hydropower Company Limited,Hydro Power,Equity,Active,uppermachhakhola@gmail.com,www.bikashhydro.com.np
BHDC,Bindhyabasini Hydropower Development Company Limited,Hydro Power,Equity,Active,info.bhdc@rmgroup.com.np,https://bindhyabasinihydro.com.np
BHL,Balephi Hydropower Limited,Hydro Power,Equity,Active,info@balephihydro.com,www.balephihydro.com
BHPL,Barahi Hydropower Public Limited,Hydro Power,Equity,Active,bhpl.acc@gmail.com,www.barahihydropower.com.np
BJFL,Birgunj Finance Ltd.,Finance,Equity,Delisted,avu@avu.com,
BJHL,Bhujung Hydropower Limited,Hydro Power,Equity,Active,bhujung.hydro@gmail.com,
BJM,Biratnagar Jute Mills Limited,Manufacturing And Processing,Equity,Delisted,bjm@bjm.com,
BLDBL,Biratlaxmi Bikas Bank Limited,Development Banks,Equity,Delisted,info@biratlaxmibank.com.np,
BLDBLP,Biratlaxmi Bikas Bank Limited,Development Banks,Promoter Share,Inactive,info@biratlaxmibank.com.np,
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,Hydro Power,Equity,Active,info@buddhabhumi.com,buddhabhuminepalhydro.com.np
BNL,Bottlers Nepal (Balaju) Limited,Manufacturing And Processing,Equity,Active,prburma@coca-cola.com.np,
BNT,Bottlers Nepal (Terai) Limited,Manufacturing And Processing,Equity,Active,investorrelations@coca-cola.com.np,
BOAN,Bank of Asia Nepal Limited,Commercial Banks,Equity,Delisted,info@boa.com.np,
BOKD2079,8% BOK Debenture 2079,Commercial Banks,Non-Convertible Debentures,Delisted,deepak.gautam@bok.com.np,
BOKD86,8.5% BOK Debenture 2086,Commercial Banks,Non-Convertible Debentures,Active,deepak.gautam@bok.com.np,
BOKD86KA,"BOK Debenture 2086 ""KA""",Commercial Banks,Non-Convertible Debentures,Active,deepak.gautam@bok.com.np,
BOKL,Bank of Kathmandu Ltd.,Commercial Banks,Equity,Delisted,deepak.gautam@bok.com.np,
BOKLPO,Bank of Kathmandu Ltd.,Commercial Banks,Promoter Share,Inactive,deepak.gautam@bok.com.np,
BPCL,Butwal Power Company Limited,Hydro Power,Equity,Active,hari.budhathoki@bpc.com.np,http://www.bpc.com.np
BPW,BPW Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Delisted,bpwlaghubitta@gmail.com,www.bpwlaghubitta.com.np
BPWP,BPW Laghubitta Bittiya Sanstha,Microfinance,Promoter Share,Inactive,bpwlaghubitta@gmail.com,www.bpwlaghubitta.com.np
BRTBL,Bright Development Bank Ltd,Development Banks,Equity,Delisted,bright@gmail.com,
BSBLPO,Gandaki Bikas Bank Limited,Development Banks,Promoter Share,Inactive,chhabindra@gandakibank.com.np,
BSL,Birat Shoe Limited,Manufacturing And Processing,Equity,Suspended,bsl@bsl.com,
BSM,Butwal Spinning Mills Limited,Manufacturing And Processing,Equity,Suspended,bsm@bsm.com,
BUDBL,Business Universal Development Bank Ltd.,Development Banks,Equity,Delisted,info@budbank.com.np,http://www.budbank.com.np
BUDBLP,Business Universal Development Bank Ltd.,Development Banks,Promoter Share,Inactive,info@budbank.com.np,http://www.budbank.com.np
BUNGAL,Bungal Hydro Limited,Hydro Power,Equity,Active,info.kghep@gmail.com,bungalhydro.com.np
C30MF,Citizens Super 30 Mutual Fund,Commercial Banks,Mutual Funds,Active,pramesh.kayastha@ctznbank.com,www.ctznbank.com
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Active,info@chhimekbank.org.np,www.chhimekbank.org
CBBLPO,Chhimek Laghubitta Bittiya Sanstha Limited,Microfinance,Promoter Share,Active,info@chhimekbank.org.np,www.chhimekbank.org
CBL,Civil Bank Ltd,Commercial Banks,Equity,Delisted,hirakaji.basnet@civilbank.com.np,
CBLD88,Civil Bank Debenture 2088,Commercial Banks,Non-Convertible Debentures,Active,hirakaji.basnet@civilbank.com.np,
CBLPO,Civil Bank Ltd,Commercial Banks,Promoter Share,Inactive,hirakaji.basnet@civilbank.com.np,
CCBD88,Century Debenture 2088,Commercial Banks,Non-Convertible Debentures,Active,welcome@centurybank.com.np,
CCBL,Century Commercial Bank Ltd.,Commercial Banks,Equity,Delisted,welcome@centurybank.com.np,
CCBLPO,Century Commercial Bank Ltd.,Commercial Banks,Promoter Share,Inactive,welcome@centurybank.com.np,
CEDBL,Clean Energy Development Bank Limited,Development Banks,Equity,Delisted,info@cedbl.com,http://www.cedbl.com
CEDBLP,Clean Energy Development Bank Limited,Development Banks,Promoter Share,Inactive,info@cedbl.com,http://www.cedbl.com
CEFL,City Express Finance Co. Limited,Finance,Equity,Delisted,legal@cityexpress.com.np,
CEFLPO,City Express Finance Co. Limited,Finance,Promoter Share,Inactive,legal@cityexpress.com.np,
CFCL,Central Finance Co. Ltd.,Finance,Equity,Active,info@centralfinance.com.np,
CFCLPO,Central Finance Co. Ltd.,Finance,Promoter Share,Active,info@centralfinance.com.np,
CFL,Crystal Finance Ltd.,Finance,Equity,Suspended,info@crystal.com.np,
CGH,Chandragiri Hills Limited,Hotels And Tourism,Equity,Active,jhalak.sharma@chandragirihills.com,www.chandragirihills.com
CGHP,Chandragiri Hills Limited,Hotels And Tourism,Promoter Share,Inactive,jhalak.sharma@chandragirihills.com,www.chandragirihills.com
CHCL,Chilime Hydropower Company Limited,Hydro Power,Equity,Active,info@chilime.com.np,www.chilime.com.np
CHDC,CEDB Holdings Limited,Investment,Equity,Active,chf@chf.com.np,www.chdc.com.np
CHL,Chhyangdi Hydropower Ltd.,Hydro Power,Equity,Active,chhyangdihydropowerltd@gmail.com,
CIT,Citizen Investment Trust,Investment,Equity,Active,cit.cmkt@gmail.com,nlk.org.np
CITPO,Citizen Investment Trust,Investment,Promoter Share,Active,cit.cmkt@gmail.com,nlk.org.np
CITY,City Hotel Limited,Hotels And Tourism,Equity,Active,info@cityhotel.com.np,https://cityhotel.com.np/
CIVIC,Civic Development Bank Ltd,Development Banks,Equity,Delisted,civic@gmail.com,
CIZBD86,10.25% Citizens Bank Debenture 2086,Commercial Banks,Non-Convertible Debentures,Active,pramesh.kayastha@ctznbank.com,www.ctznbank.com
CIZBD90,10% Citizens Bank Debenture 2090,Commercial Banks,Non-Convertible Debentures,Active,pramesh.kayastha@ctznbank.com,www.ctznbank.com
CKHL,Chirkhwa Hydropower Limited,Hydro Power,Equity,Active,chirkhwa@gmail.com,www.chirkhwahpl.com
CLI,Citizen Life Insurance Company Limited,Life Insurance,Equity,Active,info@citizenlifenepal.com,www.citizenlifenepal.com
CLIP,Citizen Life Insurance Company Limited,Life Insurance,Promoter Share,Active,info@citizenlifenepal.com,www.citizenlifenepal.com
CMB,Capital Merchant Bank & Finance Co. Ltd.,Finance,Equity,Suspended,avu@avu.com,
CMBF,CMB Finance Limited,Finance,Equity,Delisted,cmbfl@wlink.com.np,
CMBFLP,Capital Merchant Bank & Finance Co. Ltd.,Finance,Promoter Share,Inactive,avu@avu.com,
CMBFPO,CMB Finance Limited,Finance,Promoter Share,Inactive,cmbfl@wlink.com.np,
CMBSL,Civil Merchant Bittiya Santha Ltd.,Finance,Equity,Delisted,marketing@civilmbsl.com,
CMBSLP,Civil Merchant Bittiya Santha Ltd.,Finance,Promoter Share,Inactive,marketing@civilmbsl.com,
CMF1,Citizens Mutual Fund -1,Commercial Banks,Mutual Funds,Delisted,pramesh.kayastha@ctznbank.com,www.ctznbank.com
CMF2,CITIZENS MUTUAL FUND 2,Mutual Fund,Mutual Funds,Delisted,info@cbilcapital.com,www.cbilcapital.com
CNDBL,Country Development Bank Ltd.,Development Banks,Equity,Delisted,info@cdbank.com.np,http://www.cdbank.com.np
CNDBLP,Country Development Bank Ltd.,Development Banks,Promoter Share,Inactive,info@cdbank.com.np,http://www.cdbank.com.np
CORBL,Corporate Development Bank Limited,Development Banks,Equity,Active,info@corporatebank.com.np,
CORBLP,Corporate Development Bank Limited,Development Banks,Promoter Share,Active,info@corporatebank.com.np,
CREST,Crest Micro Life Insurance Limited,Life Insurance,Equity,Active,info@cmli.com.np,www.cmli.com.np
CRESTP,Crest Micro Life Insurance Limited,Life Insurance,Promoter Share,Active,info@cmli.com.np,www.cmli.com.np
CSDBL,Cosmos Development Bank Ltd.,Development Banks,Equity,Delisted,info@cosmosbank.com.np,
CSDBLP,Cosmos Development Bank Ltd.,Development Banks,Promoter Share,Inactive,info@cosmosbank.com.np,
CSY,Citizens Santulit Yojana,Commercial Banks,Mutual Funds,Active,pramesh.kayastha@ctznbank.com,www.ctznbank.com
CTBNL,Commerz and Trust Bank Nepal Ltd.,Commercial Banks,Equity,Delisted,info@ctbnl.com,http://www.ctbanknepal.com
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Active,info@cycnlbsl.org.np,www.cycnlbsl.org.np
CYCLP,CYC Nepal laghubitta Bittiya Sanstha Limited,Microfinance,Promoter Share,Active,info@cycnlbsl.org.np,www.cycnlbsl.org.np
CZBIL,Citizens Bank International Limited,Commercial Banks,Equity,Active,pramesh.kayastha@ctznbank.com,www.ctznbank.com
CZBILP,Citizens Bank International Limited,Commercial Banks,Promoter Share,Active,pramesh.kayastha@ctznbank.com,www.ctznbank.com
DBBL,Deva Bikas Bank Limited,Development Banks,Equity,Delisted,info@devabank.com.np,
DBBLPO,Deva Bikas Bank Limited,Development Banks,Promoter Share,Inactive,info@devabank.com.np,
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Active,info@deproscbank.com.np,www.deproscbank.com.np
DDBLPO,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,Promoter Share,Active,info@deproscbank.com.np,www.deproscbank.com.np
DHEL,Daramkhola Hydro Energy Limited,Hydro Power,Equity,Active,daramkholahydroenergy@gmail.com,https://daramkholahydro.com
DHPL,Dibyashwori Hydropower Ltd.,Hydro Power,Equity,Active,dibyashwarihydropower@gmail.com,
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Active,dlbsbank.headoffice@gmail.com,www.dhaulagiribank.com
DLBSP,Dhaulagiri laghubitta Sanstha Limited,Microfinance,Promoter Share,Inactive,dlbsbank.headoffice@gmail.com,www.dhaulagiribank.com
DOLTI,Dolti Power Company Limited,Hydro Power,Equity,Active,info@doltipower.com.np,www.doltipower.org.np
DORDI,Dordi Khola Jal Bidyut Company Limited,Hydro Power,Equity,Active,info@dordikhola.com.np,www.dordikhola.com.np
EBL,Everest Bank Limited,Commercial Banks,Equity,Active,sharedept@ebl.com.np,www.everestbankltd.com
EBLCP,Everest Bank Limited Con. Pref.,Commercial Banks,Preference Shares,Delisted,sharedept@ebl.com.np,www.everestbankltd.com
EBLD2078,8% EBL Debenture 2078,Commercial Banks,Non-Convertible Debentures,Delisted,sharedept@ebl.com.np,www.everestbankltd.com
EBLD85,10.50% Everest Bank Limited Debenture 2085,Commercial Banks,Non-Convertible Debentures,Active,sharedept@ebl.com.np,www.everestbankltd.com
EBLD86,Everest Bank Limited,Commercial Banks,Non-Convertible Debentures,Active,sharedept@ebl.com.np,www.everestbankltd.com
EBLD91,Everest Bank Limited Debenture 2091,Commercial Banks,Non-Convertible Debentures,Active,sharedept@ebl.com.np,www.everestbankltd.com
EBLEB89,"Everest Bank Limited Energy Bond, 2089",Commercial Banks,Non-Convertible Debentures,Active,sharedept@ebl.com.np,www.everestbankltd.com
EBLPO,Everest Bank Limited,Commercial Banks,Promoter Share,Active,sharedept@ebl.com.np,www.everestbankltd.com
ECL,Everest Colour Limited,Manufacturing And Processing,Equity,Active,ecinepal@gmail.com,www.everestcolour.com
EDBL,Excel Development Bank Ltd.,Development Banks,Equity,Active,info@edb.com.np,
EDBLPO,Excel Development Bank Ltd.,Development Banks,Promoter Share,Active,info@edb.com.np,
EFL,Everest Finance Ltd.,Finance,Equity,Delisted,efl@efl.com.np,
EFLPO,Everest Finance Ltd.,Finance,Promoter Share,Inactive,efl@efl.com.np,
EHPL,Eastern Hydropower Limited,Hydro Power,Equity,Active,pikhuwakhola5@gmail.com,www.ehpl.com.np
EIC,Everest Insurance Co. Ltd.,Non Life Insurance,Equity,Delisted,pradip@eic.com.np,
EICPO,Everest Insurance Co. Ltd.,Non Life Insurance,Promoter Share,Inactive,pradip@eic.com.np,
EKBL,Ekata Bikas Bank Ltd.,Development Banks,Equity,Delisted,info@ekatabank.com.np,http://www.ekatabank.com.np
EKBLPO,Ekata Bikas Bank Ltd.,Development Banks,Promoter Share,Inactive,info@ekatabank.com.np,http://www.ekatabank.com.np
ENL,Emerging Nepal Limited,Investment,Equity,Active,mail@emergingnep.com,https://www.emergingnep.com
ENLP,Emerging nepal limited,Investment,Promoter Share,Inactive,mail@emergingnep.com,https://www.emergingnep.com
ESC,National Pro. And Eco. Dev. Centre,Others,Equity,Delisted,esc@esc.com,
FBBLPO,Gandaki Bikas Bank Limited,Development Banks,Promoter Share,Inactive,chhabindra@gandakibank.com.np,
FFCL,Fewa Finance Co. Ltd.,Finance,Equity,Delisted,avu@avu.com,
FHL,Fleur Himalayan Limited,Manufacturing And Processing,Equity,Suspended,fhl@fhl.com,
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Active,bijay@fmdb.com.np,www.fmdb.com.np
FMDBLP,First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance,Promoter Share,Active,bijay@fmdb.com.np,www.fmdb.com.np
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Active,info@forwardmfbank.com.np,www.forwardmfbank.com.np
FOWADP,Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance,Promoter Share,Active,info@forwardmfbank.com.np,www.forwardmfbank.com.np
GABL,Gaumukhee Bikas Bank Ltd.,Development Banks,Equity,Delisted,gaumukhi.bijuwar@gmail.com,
GABLPO,Gaumukhee Bikas Bank Ltd.,Development Banks,Promoter Share,Inactive,gaumukhi.bijuwar@gmail.com,
GBBD85,"Garima Debenture, 2085",Development Banks,Non-Convertible Debentures,Active,info@garimabank.com.np,www.garimabank.com.np
GBBL,Garima Bikas Bank Limited,Development Banks,Equity,Active,info@garimabank.com.np,www.garimabank.com.np
GBBLPO,Garima Bikas Bank Limited,Development Banks,Promoter Share,Active,info@garimabank.com.np,www.garimabank.com.np
GBD80/81,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,Commercial Banks,Non-Convertible Debentures,Delisted,nlisting@gibl.com.np,http://www.globalimebank.com
GBILD84/85,"Global IME Bank Debenture, 2084/85",Commercial Banks,Non-Convertible Debentures,Active,nlisting@gibl.com.np,http://www.globalimebank.com
GBILD86/87,Global IME Bank Limited Debenture 2086/87,Commercial Banks,Non-Convertible Debentures,Active,nlisting@gibl.com.np,http://www.globalimebank.com
GBIME,Global IME Bank Limited,Commercial Banks,Equity,Active,nlisting@gibl.com.np,http://www.globalimebank.com
GBIMEP,Global IME Bank Limited,Commercial Banks,Promoter Share,Active,nlisting@gibl.com.np,http://www.globalimebank.com
GBIMESY2,Global IME Sammunat Yojana -2,Commercial Banks,Mutual Funds,Active,nlisting@gibl.com.np,http://www.globalimebank.com
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity,Active,info@gblbs.com.np,http://www.grameenbanknepal.com
GBLBSP,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,Microfinance,Promoter Share,Active,info@gblbs.com.np,http://www.grameenbanknepal.com
GCIL,Ghorahi Cement Industry Limited,Manufacturing And Processing,Equity,Active,enquiry@ghorahicement.com,www.ghorahicement.com.np
GDBL,Gandaki Bikas Bank Limited,Development Banks,Equity,Delisted,chhabindra@gandakibank.com.np,
GDBL1,Gandaki Bikas BankLimited,Development Banks,Equity,Delisted,hop@gandakibank.com,
GDBLPO,Gandaki Bikas Bank Limited,Development Banks,Promoter Share,Inactive,chhabindra@gandakibank.com.np,
GDBNL,Gurkha Development Bank Limited,Development Banks,Equity,Delisted,info@gdbl.com.np,http://www.gdbl.com.np
GFCL,Goodwill Finance Limited,Finance,Equity,Active,info@goodwill.net.np,https://goodwillfinance.com.np/
GFCLPO,Goodwill Finance Limited,Finance,Promoter Share,Active,info@goodwill.net.np,https://goodwillfinance.com.np/
GFLK,Gorkha Finance Ltd.,Finance,Equity,Delisted,gflk@gflk.com,
GFLKPO,Gorkha Finance Ltd.,Finance,Promoter Share,Inactive,gflk@gflk.com,
GGBSL,Ghodighoda Laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity,Delisted,ghodighoda.mfi@gmail.com,www.ghodighoda.com.np
GGBSLP,ghodighoda laghubitta bittiya sanstha ltd,Microfinance,Promoter Share,Inactive,ghodighoda.mfi@gmail.com,www.ghodighoda.com.np
GHL,Ghalemdi Hydro Limited,Hydro Power,Equity,Active,info@ghalemdi.com,www.ghalemdi.com
GIBF1,Global IME Balanced Fund-1,Mutual Fund,Mutual Funds,Active,gimeb1@gicl.com.np,www.globalimecapital.com
GIC,General Insurance Company Nepal Ltd,Non Life Insurance,Equity,Delisted,ram@generalinsurance.com.np,www.gicnepal.com
GICP,General Insurance Company Nepal Ltd,Non Life Insurance,Promoter Share,Inactive,ram@generalinsurance.com.np,www.gicnepal.com
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity,Active,info@gilb.com.np,http://www.gilb.com.np
GILBPO,Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance,Promoter Share,Active,info@gilb.com.np,http://www.gilb.com.np
GIMES1,Global IME Samunnat Scheme-1,Commercial Banks,Mutual Funds,Delisted,nlisting@gibl.com.np,http://www.globalimebank.com
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Active,info@glbsl.com.np,www.glbsl.com.np
GLBSLP,Gurans Laghubitta Bittiya Sanstha Ltd,Microfinance,Promoter Share,Inactive,info@glbsl.com.np,www.glbsl.com.np
GLH,GreenLife Hydropower Limited,Hydro Power,Equity,Active,nepalgreenlife@gmail.com,www.greenlifehydropower.com.np
GLICL,Gurans Life Insurance Company Ltd.,Life Insurance,Equity,Delisted,admin@guranslife.com,
GLICLP,Gurans Life Insurance Company Ltd.,Life Insurance,Promoter Share,Inactive,admin@guranslife.com,
GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Active,ganapati.micro@gmail.com,www.ganapatimicro.com.np
GMFBSP,Ganapati Laghubitta Bittiya Sanstha Ltd,Microfinance,Promoter Share,Active,ganapati.micro@gmail.com,www.ganapatimicro.com.np
GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,Finance,Equity,Active,compliance@gmbf.com.np,www.gmbf.com.np
GMFILP,Guheswori Merchant Banking & Finance Ltd.,Finance,Promoter Share,Active,compliance@gmbf.com.np,www.gmbf.com.np
GMLI,Guardian Micro Life Insurance Limited,Life Insurance,Equity,Active,info@gmli.co,www.gmli.com.np
GMLIP,GUARDIAN MICRO LIFE INSURANCE LIMITED,Life Insurance,Promoter Share,Active,info@gmli.co,www.gmli.com.np
GRAND,Grand Bank Nepal Limited,Commercial Banks,Equity,Delisted,dcbl@dcbl.com,
GRANDP,Grand Bank Nepal Limited,Commercial Banks,Promoter Share,Inactive,dcbl@dcbl.com,
GRDBL,Green Development Bank Ltd.,Development Banks,Equity,Active,info@greenbank.com.np,http://greenbank.com.np/
GRDBLP,Green Development Bank Ltd.,Development Banks,Promoter Share,Active,info@greenbank.com.np,http://greenbank.com.np/
GRU,Gorakhkali Rubber Udhyog Limited,Manufacturing And Processing,Equity,Suspended,gru@gru.com,
GSDBL,Gaurishankar Development Bank Ltd.,Development Banks,Equity,Delisted,info@gsdbl.com.np,
GSDBLP,Gaurishankar Development Bank Ltd.,Development Banks,Promoter Share,Inactive,info@gsdbl.com.np,
GSY,Garima Samriddhi Yojana,Development Banks,Mutual Funds,Active,info@garimabank.com.np,www.garimabank.com.np
GUFL,Gurkhas Finance Ltd.,Finance,Equity,Active,yan.rai@gurkhasfinance.com.np,www.gurkhasfinance.com.np
GUFLPO,Gurkhas Finance Ltd.,Finance,Promoter Share,Active,yan.rai@gurkhasfinance.com.np,www.gurkhasfinance.com.np
GULMI,Gulmi Bikas Bank Ltd.,Development Banks,Equity,Delisted,info@gulmi.com.np,
